id,name,company,wealth_source,net_worth_usd_bn,birth_year,undergrad_institution,undergrad_completed,grad_institution,grad_completed,stanford_affiliated,stanford_type,bay_area_at_founding,father_occupation,mother_occupation,parental_education,private_secondary,family_wealth_tier,tier_justification,source_url_education,source_url_background,coder_confidence,verified
1,Larry Page,Google/Alphabet,tech,140,1973,University of Michigan,Y,Stanford University,N,1,dropout,1,computer science professor,computer programming instructor,graduate,N,3,"Father Carl Page was CS professor at MSU; mother Gloria taught programming at Lyman Briggs College — professional academic household, not inherited wealth.",https://en.wikipedia.org/wiki/Larry_Page,https://en.wikipedia.org/wiki/Larry_Page,high,Y
2,Sergey Brin,Google/Alphabet,tech,120,1973,University of Maryland,Y,Stanford University,N,1,dropout,1,mathematics professor,economics researcher,graduate,N,3,"Parents Michael and Eugenia Brin were Soviet émigré academics (mathematics/economics); professional class, not tier-4 wealth.",https://en.wikipedia.org/wiki/Sergey_Brin,https://en.wikipedia.org/wiki/Sergey_Brin,high,Y
3,Elon Musk,Tesla/SpaceX,tech,195,1971,University of Pennsylvania,Y,Stanford University,N,1,dropout,1,engineer/model,model/dietitian,bachelors,N,3,"Father Errol Musk was electromechanical engineer; mother Maye was model — upper-middle/professional, not old-money tier 4.",https://en.wikipedia.org/wiki/Elon_Musk,https://en.wikipedia.org/wiki/Elon_Musk,high,Y
4,Mark Zuckerberg,Meta,tech,170,1984,Harvard University,N,none,N,0,none,0,dentist,psychiatrist,graduate,Y,4,"Parents Edward (dentist) and Karen (psychiatrist); attended Phillips Exeter Academy — elite prep and professional parents.",https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Mark_Zuckerberg,high,Y
5,Bill Gates,Microsoft,tech,128,1955,Harvard University,N,none,N,0,none,0,lawyer,philanthropist/board member,graduate,Y,4,"Father William H. Gates Sr. was prominent Seattle attorney; mother Mary Gates served on corporate boards — connected professional elite.",https://en.wikipedia.org/wiki/Bill_Gates,https://en.wikipedia.org/wiki/Bill_Gates,high,Y
6,Jensen Huang,NVIDIA,tech,77,1963,Oregon State University,Y,Stanford University,Y,1,grad,1,airport dispatcher,teacher,graduate,N,2,"Taiwan-born; raised by aunt/uncle in Oregon after father (airport dispatcher) sent him abroad; middle-class immigrant household.",https://en.wikipedia.org/wiki/Jensen_Huang,https://en.wikipedia.org/wiki/Jensen_Huang,high,Y
7,Larry Ellison,Oracle,tech,141,1944,University of Illinois,N,University of Chicago,N,0,none,1,adoptive father accountant,biological mother unwed teen,hs,N,2,"Adopted by aunt/uncle in Chicago; father was government accountant — middle class, not elite.",https://en.wikipedia.org/wiki/Larry_Ellison,https://en.wikipedia.org/wiki/Larry_Ellison,high,Y
8,Jeff Bezos,Amazon,tech,194,1964,Princeton University,Y,none,N,0,none,0,engineer,teen mother later remarried,graduate,N,2,"Biological father absent; stepfather Miguel Bezos was Cuban immigrant engineer; mother Jackie was teen mother who completed college later.",https://en.wikipedia.org/wiki/Jeff_Bezos,https://en.wikipedia.org/wiki/Jeff_Bezos,high,Y
9,Steve Ballmer,Microsoft,tech,120,1956,Harvard University,Y,Stanford University,N,1,dropout,0,Swiss immigrant manager,accountant,bachelors,N,3,"Father Fred Ballmer was Ford manager; mother Beatrice was accountant — professional middle/upper-middle.",https://en.wikipedia.org/wiki/Steve_Ballmer,https://en.wikipedia.org/wiki/Steve_Ballmer,medium,Y
10,Michael Dell,Dell,tech,91,1965,University of Texas,N,none,N,0,none,0,orthodontist,stockbroker,graduate,N,4,"Father was orthodontist; mother was stockbroker — affluent professional Austin household.",https://en.wikipedia.org/wiki/Michael_Dell,https://en.wikipedia.org/wiki/Michael_Dell,high,Y
11,Dustin Moskovitz,Asana/Meta,tech,14,1984,Harvard University,N,none,N,0,none,0,dentist,none listed,graduate,N,4,"Attended Vanguard High School (magnet); Harvard roommate of Zuckerberg — similar elite pipeline; parents less documented.",https://en.wikipedia.org/wiki/Dustin_Moskovitz,https://en.wikipedia.org/wiki/Dustin_Moskovitz,medium,Y
12,Reed Hastings,Netflix,tech,4,1960,Bowdoin College,Y,Stanford University,Y,1,grad,1,government lawyer,government lawyer,graduate,N,3,"Both parents were attorneys in DC; attended private schools before Bowdoin — professional class.",https://en.wikipedia.org/wiki/Reed_Hastings,https://en.wikipedia.org/wiki/Reed_Hastings,high,Y
