id,name,company,birth_year,father_occupation,mother_occupation,parental_education,private_secondary,source_url_background,family_wealth_tier,tier_justification,coder_confidence
1,Larry Page,Google/Alphabet,1973,computer science professor,computer programming instructor,graduate,N,https://en.wikipedia.org/wiki/Larry_Page,3,"Father Carl Page was CS professor at MSU; mother Gloria taught programming at Lyman Briggs College — professional academic household, not inherited wealth.",high
2,Sergey Brin,Google/Alphabet,1973,mathematics professor,economics researcher,graduate,N,https://en.wikipedia.org/wiki/Sergey_Brin,3,"Parents Michael and Eugenia Brin were Soviet émigré academics (mathematics/economics); professional class, not tier-4 wealth.",high
3,Elon Musk,Tesla/SpaceX,1971,engineer/model,model/dietitian,bachelors,N,https://en.wikipedia.org/wiki/Elon_Musk,3,"Father Errol Musk was electromechanical engineer; mother Maye was model — upper-middle/professional, not old-money tier 4.",high
4,Mark Zuckerberg,Meta,1984,dentist,psychiatrist,graduate,Y,https://en.wikipedia.org/wiki/Mark_Zuckerberg,4,Parents Edward (dentist) and Karen (psychiatrist); attended Phillips Exeter Academy — elite prep and professional parents.,high
5,Bill Gates,Microsoft,1955,lawyer,philanthropist/board member,graduate,Y,https://en.wikipedia.org/wiki/Bill_Gates,4,Father William H. Gates Sr. was prominent Seattle attorney; mother Mary Gates served on corporate boards — connected professional elite.,high
6,Jensen Huang,NVIDIA,1963,airport dispatcher,teacher,graduate,N,https://en.wikipedia.org/wiki/Jensen_Huang,2,Taiwan-born; raised by aunt/uncle in Oregon after father (airport dispatcher) sent him abroad; middle-class immigrant household.,high
7,Larry Ellison,Oracle,1944,adoptive father accountant,biological mother unwed teen,hs,N,https://en.wikipedia.org/wiki/Larry_Ellison,2,"Adopted by aunt/uncle in Chicago; father was government accountant — middle class, not elite.",high
8,Jeff Bezos,Amazon,1964,engineer,teen mother later remarried,graduate,N,https://en.wikipedia.org/wiki/Jeff_Bezos,2,Biological father absent; stepfather Miguel Bezos was Cuban immigrant engineer; mother Jackie was teen mother who completed college later.,high
9,Steve Ballmer,Microsoft,1956,Swiss immigrant manager,accountant,bachelors,N,https://en.wikipedia.org/wiki/Steve_Ballmer,3,Father Fred Ballmer was Ford manager; mother Beatrice was accountant — professional middle/upper-middle.,medium
10,Michael Dell,Dell,1965,orthodontist,stockbroker,graduate,N,https://en.wikipedia.org/wiki/Michael_Dell,4,Father was orthodontist; mother was stockbroker — affluent professional Austin household.,high
11,Dustin Moskovitz,Asana/Meta,1984,dentist,none listed,graduate,N,https://en.wikipedia.org/wiki/Dustin_Moskovitz,4,Attended Vanguard High School (magnet); Harvard roommate of Zuckerberg — similar elite pipeline; parents less documented.,medium
12,Reed Hastings,Netflix,1960,government lawyer,government lawyer,graduate,N,https://en.wikipedia.org/wiki/Reed_Hastings,3,Both parents were attorneys in DC; attended private schools before Bowdoin — professional class.,high
13,Jack Dorsey,Twitter/Block,1976,engineer,none listed,bachelors,N,https://en.wikipedia.org/wiki/Jack_Dorsey,2,Raised in St. Louis; father Tim was mass spectrometry engineer — middle-class technical household.,medium
14,Patrick Collison,Stripe,1988,engineer,scientist,graduate,N,https://en.wikipedia.org/wiki/Patrick_Collison,3,Irish; parents Lorraine (microbiology) and Denis (engineering) — professional; moved to US for Patrick's MIT.,high
15,John Collison,Stripe,1990,engineer,scientist,graduate,N,https://en.wikipedia.org/wiki/John_Collison,3,Same household as Patrick Collison — professional Irish family.,high
16,Jan Koum,WhatsApp,1976,none,none,none,N,https://en.wikipedia.org/wiki/Jan_Koum,1,Ukrainian immigrant; mother worked as babysitter; father absent; welfare and food stamps in Mountain View — tier 1.,high
17,Travis Kalanick,Uber,1976,engineer,none listed,bachelors,N,https://en.wikipedia.org/wiki/Travis_Kalanick,2,Father Donald was civil engineer for nuclear power plants — middle-class technical.,medium
18,Peter Thiel,PayPal/Palantir,1967,chemical engineer,none listed,graduate,N,https://en.wikipedia.org/wiki/Peter_Thiel,3,"German immigrant parents; father Klaus was chemical engineer — professional, not finance elite.",high
19,Reid Hoffman,LinkedIn,1967,real estate lawyer,none listed,graduate,N,https://en.wikipedia.org/wiki/Reid_Hoffman,3,Father William was real estate lawyer in Berkeley — professional class Bay Area.,high
20,Marc Benioff,Salesforce,1964,department store executive,none listed,bachelors,N,https://en.wikipedia.org/wiki/Marc_Benioff,4,Great-grandfather was Time Inc. chairman; father Russell was executive at Federated Department Stores — connected wealth.,high
